,Truck Type,State,Fuel Type,Cost
318,four_six_axle_single,TamilNadu,Diesel,95.17
319,four_six_axle_single,TamilNadu,Electric,5.75
320,four_six_axle_single,TamilNadu,Petrol,103.56
321,four_six_axle_single,UttarPradesh,Diesel,90.13
322,four_six_axle_single,UttarPradesh,Electric,6.5
323,four_six_axle_single,UttarPradesh,Petrol,96.99
324,four_six_axle_single,Uttarakhand,Diesel,89.94
325,four_six_axle_single,Uttarakhand,Electric,5.5
326,four_six_axle_single,Uttarakhand,Petrol,94.86
327,four_six_axle_single,WestBengal,Diesel,92.75
328,four_six_axle_single,WestBengal,Electric,7.0
329,four_six_axle_single,WestBengal,Petrol,106.01
330,hcm_monthly,AndraPradesh,Diesel,99.11
331,hcm_monthly,AndraPradesh,Electric,6.5
332,hcm_monthly,AndraPradesh,Petrol,111.22
333,hcm_monthly,Manipur,Diesel,89.06
334,hcm_monthly,Manipur,Electric,6.0
335,hcm_monthly,Manipur,Petrol,97.54
336,hcm_monthly,Bihar,Diesel,94.67
337,hcm_monthly,Bihar,Electric,6.75
338,hcm_monthly,Bihar,Petrol,107.94
339,hcm_monthly,Chandigarh,Diesel,84.26
340,hcm_monthly,Chandigarh,Electric,5.5
341,hcm_monthly,Chandigarh,Petrol,96.2
342,hcm_monthly,Chhattisgarh,Diesel,95.59
343,hcm_monthly,Chhattisgarh,Electric,5.5
344,hcm_monthly,Chhattisgarh,Petrol,102.6
345,hcm_monthly,Chattisgarh,Diesel,92.7
346,hcm_monthly,Chattisgarh,Electric,6.0
347,hcm_monthly,Chattisgarh,Petrol,96.94
348,hcm_monthly,Haryana,Diesel,90.05
349,hcm_monthly,Haryana,Electric,6.25
350,hcm_monthly,Haryana,Petrol,97.2
351,hcm_monthly,HimachalPradesh,Diesel,86.3
352,hcm_monthly,HimachalPradesh,Electric,4.75
353,hcm_monthly,HimachalPradesh,Petrol,97.24
354,hcm_monthly,Jammu&Kashmir,Diesel,85.43
355,hcm_monthly,Jammu&Kashmir,Electric,7.75
356,hcm_monthly,Jammu&Kashmir,Petrol,100.13
357,hcm_monthly,Jharkhand,Diesel,94.73
358,hcm_monthly,Jharkhand,Electric,6.5
359,hcm_monthly,Jharkhand,Petrol,99.92
360,hcm_monthly,Karnataka,Diesel,89.03
361,hcm_monthly,Karnataka,Electric,7.0
362,hcm_monthly,Karnataka,Petrol,102.7
363,hcm_monthly,Telangana,Diesel,97.7
364,hcm_monthly,Telangana,Electric,5.5
365,hcm_monthly,Telangana,Petrol,108.84
366,hcm_monthly,MadhyaPradesh,Diesel,94.56
367,hcm_monthly,MadhyaPradesh,Electric,6.25
368,hcm_monthly,MadhyaPradesh,Petrol,109.36
369,hcm_monthly,Maharastra,Diesel,93.45
370,hcm_monthly,Maharastra,Electric,7.5
371,hcm_monthly,Maharastra,Petrol,106.87
372,hcm_monthly,Mizoram,Diesel,82.18
373,hcm_monthly,Mizoram,Electric,5.25
374,hcm_monthly,Mizoram,Petrol,95.73
375,hcm_monthly,Odisha,Diesel,95.15
376,hcm_monthly,Odisha,Electric,6.25
377,hcm_monthly,Odisha,Petrol,103.59
378,hcm_monthly,Punjab,Diesel,87.79
379,hcm_monthly,Punjab,Electric,5.75
380,hcm_monthly,Punjab,Petrol,97.44
381,hcm_monthly,Rajasthan,Diesel,94.55
382,hcm_monthly,Rajasthan,Electric,6.5
383,hcm_monthly,Rajasthan,Petrol,109.4
384,hcm_monthly,TamilNadu,Diesel,95.17
385,hcm_monthly,TamilNadu,Electric,5.75
386,hcm_monthly,TamilNadu,Petrol,103.56
387,hcm_monthly,UttarPradesh,Diesel,90.13
388,hcm_monthly,UttarPradesh,Electric,6.5
389,hcm_monthly,UttarPradesh,Petrol,96.99
390,hcm_monthly,Uttarakhand,Diesel,89.94
391,hcm_monthly,Uttarakhand,Electric,5.5
392,hcm_monthly,Uttarakhand,Petrol,94.86
393,hcm_monthly,WestBengal,Diesel,92.75
